label	sentence
positive	HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .
neutral	The Committee proposes the following remuneration : a monthly remuneration of EUR 5,000 for the Chairman , EUR 3,500 for the Deputy Chairman , and EUR 2,500 for the other Board members .
negative	( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a
positive	3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) said today it sealed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market .
positive	The rebuilds are designed to improve the machines ' performance and product quality .
neutral	The company will issue an inaugural Eurobond deal in the near future subject to market conditions .
positive	MADISON , Wis. , Feb. 6 - PRNewswire - -- Fiskars announces that the United States Patent and Trademark Office has granted a trademark registration for the color orange on its iconic scissor handles .
positive	Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .
negative	In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .
neutral	IonPhasE 's second major owner is venture capital firm Aura Capital .
negative	Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .
negative	Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries .
neutral	Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .
neutral	25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .
neutral	Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .
positive	It estimates the operating profit to further improve from the third quarter .
positive	The acquisition is expected to improve access to chrome ore resources in Turkey .
neutral	The move will be carried out by transferring HKScan 's production-related property , plant , equipment , as well as its holdings in subsidiaries and associate companies in the country to HKScan Finland .
neutral	The company has 120 employees and annual sales of approximately EUR16m .
positive	In contrast , the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago .
positive	Juha Jordan , chief engineer at Glaston , said one of the reasons for choosing Vacon as a global AC drives supplier is that it has service and support centres in the same countries where Glaston operates .
neutral	Welcome !
neutral	The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .
neutral	SAN FRANCISCO ( MarketWatch ) -- Nokia Corp , the world 's largest cell-phone maker , is using the Consumer Electronics Show in Las Vegas to introduce a high-end , thin folding phone , according to a media report Monday .
neutral	Financial terms were n't disclosed .
positive	In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .
neutral	Vaisala 's Present Weather Detector measures visibility up to 20 km , as well as precipitation type and intensity .
negative	The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .
neutral	The company has also supplied more than 200 MW of power generating equipment for a number of projects in Papua New Guinea , including 12 engines of the Wartsila 32 type to Lihir Gold .
positive	The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .
neutral	The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand .
neutral	The duration of the lay-offs per employee will vary from one to six weeks .
neutral	The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki .
neutral	It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001 .
positive	Last week , the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker .
positive	Demand was brisk as expected and order levels have remained high .
neutral	from BUSINESS LINE , May 16 , 2008 Sriperumbudur , May 15 - Nokia 's two key suppliers - Aspocomp and Wintek - are likely to start operations within three months in the Nokia Telecom Park at Sriperumbudur , 45 km west off Chennai .
neutral	The transaction value is CAD 15 million approximately EUR 10 million .
neutral	Honkarakenne Oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring Finnish crosscountry skier Virpi Kuitunen for the next three years .
neutral	`` This could be us .
negative	Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .
neutral	The Lemminkainen Group , headquartered in Helsinki , Finland operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .
neutral	`` We have the most expensive water brand in Finland at the moment . ''
neutral	The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .
neutral	Tekla 's defense business employs over 20 persons and is located in Espoo , Finland .
positive	Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .
negative	Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .
neutral	at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 .
neutral	This implementation is very important to the operator , since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : .
neutral	The forecast for 2012 is 3.3 % .
neutral	Customers include hotels and restaurants as well as wholesalers and some retailers .
neutral	The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .
positive	Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan .
neutral	The proposed consolidation activities will impact approximately 30 positions .
neutral	Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland .
negative	The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .
neutral	With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing .
neutral	The company said that currently the French distribution unit Ragot is located in Loudeac , Normandy , the distribution unit Waterqueen and line supplier Tortue in Saint Marcel in mid-France and the hook manufacturing unit VMC and hook distribution unit VMC Europe in Morvillars .
negative	Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .
neutral	Completion of the transaction is subject to a final agreement and a Due Diligence process .
positive	Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .
positive	For the current year , Raute expects its net sales to increase and the operating result -- to be positive .
positive	The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago .
negative	The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .
neutral	Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .
positive	`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .
neutral	STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com .
positive	NAVTEQ has a commanding lead in installed map data systems in North American vehicles and may be the leader in turn-by-turn navigation data offered by services such as OnStar in North America , said analyst Phil Magney of Telematics Research Group in Minnetonka , Minn. .
neutral	After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .
neutral	The desk will reach its full planned strength of ten persons in autumn 2007 .
negative	Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .
neutral	Margin call of Zanadvorov has given the chance to make such purchase under the credit of Deutsche Bank for USD 560 million .
positive	Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .
negative	A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .
negative	Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .
positive	The transaction will have a positive impact of around EUR2m on earnings , which Ruukki will recognize during the fourth quarter of this year .
positive	According to Finnish Aktia Bank 's Managing Director Jussi Laitinen , the bank 's aim is to triple the number of its customers in Finland in the next five years .
positive	Profit per share was EUR 1.03 , up from EUR 0.87 .
neutral	Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .
neutral	Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses .
neutral	The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .
neutral	It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .
neutral	Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .
positive	Net profit was 35.5 mln compared with 29.8 mln .
neutral	A filter is used to pre-process packets to determine if they need to be further processed by the processor of the network device .
positive	With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .
positive	Net sales surged by 30 % to EUR 36 million .
positive	The policy was also aimed at making the companies more profitable and competitive .
neutral	The company expects its net sales for the whole of 2007 to be EUR 950mn-1 ,000 mn .
positive	Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .
neutral	J+ñrvi-Suomen Portti is also planning to reduce the use of sodium nitrite .
positive	Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .
positive	Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .
neutral	The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .
neutral	The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .
neutral	The handset also features a Media Bar for quick access to favorite media and applications , including music , photos , YouTube or Ovi Share .
positive	The refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year .
positive	Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ` Citi is extremely pleased to be providing global custody services to Pohjola Group Bank .
neutral	Elcoteq has a global network of After Market Service sites which have a long experience in serving Consumer Electronics and Systems Solutions customers .
positive	Our standardised services have met with a positive reception among our customers as well as at Itella .
negative	The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .
positive	Furthermore , our fully electrically driven cranes are environmentally friendly .
positive	The company said that its investments in the new market areas resulted in sales increase in Sweden , Poland , Russia and Lithuania .
positive	SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .
neutral	Kesko offers Hilton to open a hotel on Kalinisky prospect in a 18,000-square metres building because of these difficulties .
neutral	Financial Statements include the consolidated financial statements of the Group , the Board of Directors ' Report , the Auditors ' Report and the Corporate Governance Statement .
neutral	FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .
positive	When the situation normalises , the company will be able to increase the amount of residential units for sale in St Petersburg and Moscow , in particular .
neutral	The Tekla Structures 16 installation has been built according to Microsoft 's requirements for the Windows 7 certification , the Company added .
neutral	Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .
neutral	Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .
neutral	Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .
neutral	The total investment necessary will be EUR40m , the company estimated .
neutral	Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .
positive	Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).
neutral	cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .
positive	Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .
neutral	The transaction covers a building lot of 46,763 sq m and factory buildings of 19,631 sq m. Since the autumn of 2007 , when Scanfil discontinued its production operations in Oulu , the facilities have been partly leased to other parties .
positive	`` I warmly welcome Michael Frei to Outotec .
neutral	The platform is based built on Intel s second-generation MID platform , called Moorestown .
neutral	It includes options for additional 30 communal building sites as well as construction supervision works for all construction sites .
positive	The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .
positive	Also , it is bringing in `` the right kind of people '' to upgrade its human resources .
negative	The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .
neutral	In a recent interview with the Financial Times ( FT ) , Sampo 's board chairman Bjorn Wahlroos said If P&C was certainly for sale and the price had been set at SEK 85 billion , confirming earlier statements .
neutral	Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .
neutral	Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .
neutral	Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .
negative	SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .
neutral	Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations .
neutral	According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .
neutral	- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .
positive	Finnish Metso will supply new wood handling and bleaching lines , as well as a rebuild of the kraft liner washing line for Klabin 's Tel+¬maco Borba mill in the Brazilian state of Paran+í .
positive	Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .
negative	Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .
neutral	A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .
positive	Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .
positive	Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .
positive	`` We are proud to welcome another distribution facility to north Mississippi and the region known as the logistics center of the United States , '' said Gray Swoope , executive director of MDA .
positive	Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.2 percent from 23.91 percent , as beer sales for the nine months jumped by 11.4 percent to 52.99 million liters .
neutral	It holds 38 percent of Outokumpu 's shares and voting rights , but in 2001 lawmakers gave it permission to reduce the stake to 10 percent .
positive	`` BasWare 's product sales grew strongly in the financial period , by 24 percent .
neutral	( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .
positive	According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .
neutral	The Finnish business delegation includes representatives from over 20 companies that include Nokia Corp , Finnfund , Outokumpu Oyj , OKO Bank , Alteams Oy and Cargotec Corp. .
negative	Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .
neutral	The total investment in 2006 and 2007 is expected to amount to about EUR75m .
positive	Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .
positive	For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer .
positive	Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .
neutral	The other two sellers were the Finnish National Fund for R&D ( Sitra ) and Oras Invest Oy , which also sold half of their shareholdings , leaving them with 3.8 pct and 3.2 pct of the company respectively .
neutral	The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught .
neutral	Wayne Greensmith , Fiskars Brands UK senior brand manager , said : `` We have launched this as we want to give something back to the community .
neutral	HKScan , headquartered in Turku , Finland , is a leading northern European food group with 10,000 employees in nine countries .
neutral	Finnish publishing and printing group Ilkka-Yhtym+ñ will introduced a staff smoking ban as of the beginning of 2007 at the company 's three newspapers .
positive	Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .
neutral	Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .
neutral	Net profit in the period in 2009 was ( EURO ) 29 million .
neutral	The company 's net sales in 2010 totalled MEUR 311.4 with an operating margin of 13.9 per cent .
negative	Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .
neutral	The Finnish paints company acquired the remaining 49 pct that it did not own from Ukraine 's LGU for an undisclosed sum .
neutral	In 2006 , TeliaSonera net sales were SEK 91 bn , EBITDA was SEK 32.266 bn , net income was SEK 19.28 bn .
neutral	Around 250 of these reductions will be implemented through pension arrangements .
positive	This new partnership agreement represents a significant milestone for both parties .
neutral	The shares represented 4.998 % of total share capital and 2.14 % of total voting rights .
neutral	Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .
positive	`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . ''
negative	And U.S. energy executives say high steel prices are threatening energy exploration .
negative	Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .
positive	Operating profit improved by 16.7 % to EUR 7.7 mn .
positive	Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .
positive	Forestries were also higher , driven by yesterday 's bullish analyst comment on Stora Enso in Dagens Industri , dealers said .
neutral	The fair value of investment properties was EUR 2 251.0 ( 1 281.4 ) million .
neutral	RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport , whereby information can be read and saved remotely .
neutral	The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .
positive	Acquisitions have been made and businesses have been well integrated .
neutral	A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .
negative	Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .
positive	CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .
negative	Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .
neutral	The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 .
neutral	They can be used to control the speed of electric motors used by industry and municipal engineering , and in power generation using renewable energy .
positive	`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .
neutral	The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .
neutral	Payment of shares shall be effected on subscription .
neutral	The company will be part of Teleste 's Video and Broadband Solutions business area .
positive	Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .
negative	EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .
neutral	The bank VTB24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles .
neutral	TVO 's two-unit 1,740 MW Olkiluoto plant generated 14.2 TWh with an operating ratio across both reactors of 93.5 % , which the company described as `` high by international standards '' .
neutral	The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 .
positive	It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .
negative	- Demand for fireplace products was lower than expected , especially in Germany .
neutral	Also , Westpac is to issue a benchmark , 18 month FRN deal in Euros .
neutral	In a letter to Economic Affairs Minister , the listed Estonian shipping company Tallink asks for the approval to be entitled to a 15 % cut in port fees in 2010 .
neutral	Creating interfaces that are more similar to interactions in the real world can enable experiences that are more natural and intuitive , in the same way that modern games and movies are more immersive through the use of realistic 3-D graphics .
neutral	Homeowners across North America have green experiences to share from cost savings to clean and eco-friendly heating .
